customer_id,restaurant_id,customer_name,restaurant_name,rating,cuisine,visit_date
530,31,Customer 530,The Olive Branch,5,Greek,2023-10-13
546,27,Customer 546,Elegant Eatery,3,Greek,2023-02-17
281,48,Customer 281,Fusion Flavors,5,Greek,2023-08-21
369,4,Customer 369,Le Gourmet,3,French,2023-07-29
833,27,Customer 833,Elegant Eatery,4,French,2023-01-13
463,9,Customer 463,Mama's Kitchen,5,Italian,2023-12-16
969,44,Customer 969,Coastal Breeze,3,Japanese,2023-12-03
218,5,Customer 218,El Rancho,4,French,2023-02-18
437,9,Customer 437,Mama's Kitchen,4,Indian,2023-11-19
805,13,Customer 805,BBQ Haven,3,Indian,2023-09-25
832,16,Customer 832,Crepe Corner,4,Indian,2023-04-25
42,39,Customer 42,Starlight Café,3,Italian,2023-08-23
242,31,Customer 242,The Olive Branch,4,Greek,2023-07-23
654,27,Customer 654,Elegant Eatery,4,American,2023-10-08
870,26,Customer 870,Rustic Retreat,4,Indian,2023-12-20
846,31,Customer 846,The Olive Branch,5,Indian,2023-10-02
261,50,Customer 261,La Belle Cuisine,4,Indian,2023-06-23
680,6,Customer 680,The Hungry Chef,5,Chinese,2023-04-05
644,49,Customer 644,Timeless Taste,3,French,2023-10-02
880,8,Customer 880,Curry House,3,Indian,2023-01-27
759,41,Customer 759,Midtown Diner,5,American,2023-05-03
465,49,Customer 465,Timeless Taste,5,Chinese,2023-07-22
560,22,Customer 560,Savory Spoon,5,Chinese,2023-05-14
836,32,Customer 836,Maple & Main,5,Mexican,2023-04-12
67,16,Customer 67,Crepe Corner,5,Mexican,2023-03-24
758,7,Customer 758,Dragonfly Diner,4,American,2023-04-12
722,42,Customer 722,Crimson Table,5,American,2023-05-30
521,41,Customer 521,Midtown Diner,3,Greek,2023-03-31
129,25,Customer 129,Blue Lagoon,4,Indian,2023-10-07
439,50,Customer 439,La Belle Cuisine,4,French,2023-04-05
410,2,Customer 410,Golden Dragon,3,French,2023-01-17
546,31,Customer 546,The Olive Branch,3,Chinese,2023-06-16
173,43,Customer 173,Mystic Curry,4,Japanese,2023-06-08
505,24,Customer 505,Garden Bistro,4,Japanese,2023-12-24
872,46,Customer 872,Chili Haven,3,Japanese,2023-04-20
945,24,Customer 945,Garden Bistro,3,Japanese,2023-09-15
99,23,Customer 99,Grill Master,5,Italian,2023-06-03
222,7,Customer 222,Dragonfly Diner,5,Mexican,2023-10-30
300,11,Customer 300,Burger Barn,4,Chinese,2023-07-15
371,28,Customer 371,Sunset Grill,3,Mexican,2023-06-22
596,28,Customer 596,Sunset Grill,3,Japanese,2023-02-10
660,10,Customer 660,Taco Town,3,American,2023-12-07
12,19,Customer 12,Waffle World,5,French,2023-10-03
732,1,Customer 732,Sakura Sushi,4,Chinese,2023-07-04
336,30,Customer 336,Pepper Mill,4,Italian,2023-07-15
355,29,Customer 355,Fiesta Feast,4,Chinese,2023-10-25
214,27,Customer 214,Elegant Eatery,3,Indian,2023-03-06
375,28,Customer 375,Sunset Grill,5,Mexican,2023-11-13
14,15,Customer 14,Noodle Nirvana,3,Indian,2023-03-22
898,49,Customer 898,Timeless Taste,4,American,2023-10-18
180,11,Customer 180,Burger Barn,4,Greek,2023-05-02
578,11,Customer 578,Burger Barn,3,Mexican,2023-08-25
184,29,Customer 184,Fiesta Feast,4,American,2023-01-27
913,41,Customer 913,Midtown Diner,4,Japanese,2023-08-23
541,49,Customer 541,Timeless Taste,4,American,2023-11-15
863,13,Customer 863,BBQ Haven,4,Japanese,2023-09-25
450,23,Customer 450,Grill Master,3,Japanese,2023-12-17
375,8,Customer 375,Curry House,5,American,2023-02-07
585,31,Customer 585,The Olive Branch,5,Indian,2023-01-06
948,12,Customer 948,Spicy Garden,3,Greek,2023-11-20
202,49,Customer 202,Timeless Taste,4,American,2023-12-20
322,21,Customer 322,Ocean's Delight,4,French,2023-11-29
762,46,Customer 762,Chili Haven,5,American,2023-12-20
607,5,Customer 607,El Rancho,4,Chinese,2023-01-28
130,14,Customer 130,Pho Fever,5,French,2023-05-26
208,3,Customer 208,Pasta Palace,5,American,2023-11-11
842,14,Customer 842,Pho Fever,4,Italian,2023-03-08
955,19,Customer 955,Waffle World,5,Italian,2023-04-29
718,24,Customer 718,Garden Bistro,3,Indian,2023-07-11
741,18,Customer 741,Pizza Planet,5,American,2023-06-04
407,19,Customer 407,Waffle World,4,Mexican,2023-04-20
363,2,Customer 363,Golden Dragon,4,Greek,2023-07-09
440,39,Customer 440,Starlight Café,4,Chinese,2023-09-11
769,30,Customer 769,Pepper Mill,3,Japanese,2023-05-10
455,20,Customer 455,Harvest Table,5,American,2023-11-19
347,40,Customer 347,Lavender Bistro,3,Japanese,2023-08-24
860,35,Customer 860,Bamboo Garden,3,Indian,2023-10-21
